,id,name,img,Winery,country,regions,grapes,cat,Bold,Tannic,Sweet,Acidic,flavours,keyword
716,716,Tinta Roriz 2012,//images.vivino.com/thumbs/J7YZ5w24QNmr4VLrcU6rpw_pb_x600.png,Quinta do Crasto,Portugal,Duriense Douro ,Tempranillo  ,PortugueseDouroRed Redwine Tempranillo,Bold8,Tannic6,Dry1,Soft4,oaky earthy black fruit red fruit spices,Duriense Douro  Tempranillo   PortugueseDouroRed Redwine Tempranillo Bold8 Tannic6 Dry1 Soft4 oaky earthy black fruit red fruit spices
717,717,Pinot Noir 2018,//images.vivino.com/thumbs/uVKIE_RUR72XsG3mOlHmXA_pb_x600.png,Amisfield,New Zealand,SouthIsland CentralOtago ,PinotNoir  ,NewZealandPinotNoir Redwine PinotNoir,Light2,Smooth2,Dry1,Acidic6,oaky earthy black fruit red fruit spices yeasty,SouthIsland CentralOtago  PinotNoir   NewZealandPinotNoir Redwine PinotNoir Light2 Smooth2 Dry1 Acidic6 oaky earthy black fruit red fruit spices yeasty
718,718,23 Barricas Touriga Nacional - Syrah Alentejano 2013,//images.vivino.com/thumbs/od9lwSpdSJK_ExYw33SOdA_pb_x600.png,Herdade dos Grous,Portugal,Alentejano  ,Shiraz/Syrah  ,PortugueseAlentejoRed Redwine Shiraz/Syrah,Bold6,Smooth4,Dry1,Soft4,oaky black fruit red fruit,Alentejano   Shiraz/Syrah   PortugueseAlentejoRed Redwine Shiraz/Syrah Bold6 Smooth4 Dry1 Soft4 oaky black fruit red fruit
719,719,Terra d'Eclano Aglianico Irpinia 2015,//images.vivino.com/thumbs/2FOWAhlrTt69MOONOQIzfQ_pb_x600.png,Quintodecimo,Italy,Campania Irpinia ,Aglianico  ,SouthernItalyRed Redwine Aglianico,Bold8,Smooth4,Dry2,Soft3,oaky earthy black fruit spices,Campania Irpinia  Aglianico   SouthernItalyRed Redwine Aglianico Bold8 Smooth4 Dry2 Soft3 oaky earthy black fruit spices
720,720,Mes Favorites Vieilles Vignes Gevrey-Chambertin 2014,//images.vivino.com/thumbs/jrZqtS-YQViY_J57LQc0NQ_pb_x600.png,Jean-Luc & Eric Burguet,France,Bourgogne CôtedeNuits Gevrey-Chambertin,PinotNoir  ,BurgundyCôtedeNuitsRed Redwine PinotNoir,Light4,Smooth3,Dry1,Acidic7,oaky earthy black fruit red fruit spices,Bourgogne CôtedeNuits Gevrey-Chambertin PinotNoir   BurgundyCôtedeNuitsRed Redwine PinotNoir Light4 Smooth3 Dry1 Acidic7 oaky earthy black fruit red fruit spices
721,721,Gran Medalla Cabernet Sauvignon 2015,//images.vivino.com/thumbs/UKRrlw_MR22SHR-EprcHfw_pb_x600.png,Trapiche,Argentina,Mendoza  ,CabernetSauvignon  ,ArgentinianCabernetSauvignon Redwine CabernetSauvignon,Bold6,Tannic5,Dry1,Soft4,oaky earthy black fruit red fruit spices,Mendoza   CabernetSauvignon   ArgentinianCabernetSauvignon Redwine CabernetSauvignon Bold6 Tannic5 Dry1 Soft4 oaky earthy black fruit red fruit spices
722,722,Châteauneuf-du-Pape 2016,//images.vivino.com/thumbs/ijGqpsVrQnm_3kqJguX1jA_pb_x600.png,Domaine de Marcoux,France,RhoneValley SouthernRhône Châteauneuf-du-Pape,Grenache Mourvedre Shiraz/Syrah,SouthernRhôneChâteauneuf-du-PapeRed Redwine Blend,Bold8,Smooth3,Dry1,Soft4,oaky earthy black fruit red fruit spices floral dried fruit,RhoneValley SouthernRhône Châteauneuf-du-Pape Grenache Mourvedre Shiraz/Syrah SouthernRhôneChâteauneuf-du-PapeRed Redwine Blend Bold8 Smooth3 Dry1 Soft4 oaky earthy black fruit red fruit spices floral dried fruit
723,723,O.P.C Proprietary Red 2011,//images.vivino.com/thumbs/P-FZ_VPBSySqA21c4Yso8g_pb_x600.png,Buoncristiani,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,CalifornianRedBlend Redwine CabernetSauvignon,Bold8,Tannic5,Dry0,Acidic6,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty CabernetSauvignon   CalifornianRedBlend Redwine CabernetSauvignon Bold8 Tannic5 Dry0 Acidic6 oaky earthy black fruit red fruit spices
724,724,Cuvée de Trois Pinot Noir 2012,//images.vivino.com/thumbs/1rtVYSr8S9SDE3CIwblo7Q_pb_x600.png,Joseph Swan Vineyards,United States,California NorthCoast SonomaCounty,PinotNoir  ,CalifornianPinotNoir Redwine PinotNoir,Light4,Smooth2,Dry1,Acidic5,oaky earthy black fruit red fruit spices,California NorthCoast SonomaCounty PinotNoir   CalifornianPinotNoir Redwine PinotNoir Light4 Smooth2 Dry1 Acidic5 oaky earthy black fruit red fruit spices
725,725,Barolo Bussia 2007,//images.vivino.com/thumbs/IzyQRXIhQFSgT0ODgjtyoQ_pb_x600.png,Prunotto,Italy,Piemonte Barolo ,Nebbiolo  ,ItalianBarolo Redwine Nebbiolo,Bold6,Tannic7,Dry0,Acidic8,oaky earthy black fruit red fruit spices floral dried fruit citrus,Piemonte Barolo  Nebbiolo   ItalianBarolo Redwine Nebbiolo Bold6 Tannic7 Dry0 Acidic8 oaky earthy black fruit red fruit spices floral dried fruit citrus
726,726,Il Carbonaione Alta Valle della Greve 2013,//images.vivino.com/thumbs/xGRsgyzNS7u9s3Qsqrc5sA_pb_x600.png,Poggio Scalette,Italy,Toscana AltaValledellaGreve ,Sangiovese  ,TuscanRed Redwine Sangiovese,Bold5,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit spices,Toscana AltaValledellaGreve  Sangiovese   TuscanRed Redwine Sangiovese Bold5 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit spices
727,727,Alentejano Moon Harvested 2013,//images.vivino.com/thumbs/Dbxh54pnQo-V3nwWoHxHcA_pb_x600.png,Herdade dos Grous,Portugal,Alentejano  ,AlicanteBouschet  ,PortugueseAlentejoRed Redwine AlicanteBouschet,Bold7,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit,Alentejano   AlicanteBouschet   PortugueseAlentejoRed Redwine AlicanteBouschet Bold7 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit
728,728,The Party Malbec 2018,//images.vivino.com/thumbs/5iARHgsbQPa8rwD8GSWtuQ_pb_x600.png,Matías Riccitelli,Argentina,Mendoza UcoValley ,Malbec  ,ArgentinianMalbec Redwine Malbec,Bold5,Smooth3,Dry2,Soft4,oaky black fruit red fruit,Mendoza UcoValley  Malbec   ArgentinianMalbec Redwine Malbec Bold5 Smooth3 Dry2 Soft4 oaky black fruit red fruit
729,729,Montiano 2017,//images.vivino.com/thumbs/QnWCM1tVTE2dhNtMldi_CQ_pb_x600.png,Cotarella,Italy,Lazio  ,Merlot  ,CentralItalyRed Redwine Merlot,Bold5,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit spices,Lazio   Merlot   CentralItalyRed Redwine Merlot Bold5 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit spices
730,730,Land's Edge Vineyard Pinot Noir 2012,//images.vivino.com/thumbs/0BnMkVQiTyGVM1LvyliG3w_pb_x600.png,Hartford Court,United States,California NorthCoast SonomaCounty,PinotNoir  ,CalifornianPinotNoir Redwine PinotNoir,Light4,Smooth1,Dry1,Acidic5,oaky earthy black fruit red fruit spices floral,California NorthCoast SonomaCounty PinotNoir   CalifornianPinotNoir Redwine PinotNoir Light4 Smooth1 Dry1 Acidic5 oaky earthy black fruit red fruit spices floral
731,731,Pauillac (Grand Cru Classé) 2017,//images.vivino.com/thumbs/EXWfBa0WQJyv7rwSGDh-xQ_pb_x600.png,Château Clerc Milon,France,Bordeaux Médoc Pauillac,Merlot PetitVerdot CabernetSauvignon,BordeauxPauillac Redwine Blend,Bold7,Tannic7,Dry0,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal,Bordeaux Médoc Pauillac Merlot PetitVerdot CabernetSauvignon BordeauxPauillac Redwine Blend Bold7 Tannic7 Dry0 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal
732,732,Alentejano Moon Harvested 2011,//images.vivino.com/thumbs/Dbxh54pnQo-V3nwWoHxHcA_pb_x600.png,Herdade dos Grous,Portugal,Alentejano  ,AlicanteBouschet  ,PortugueseAlentejoRed Redwine AlicanteBouschet,Bold7,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit,Alentejano   AlicanteBouschet   PortugueseAlentejoRed Redwine AlicanteBouschet Bold7 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit
733,733,Barolo Bussia 2010,//images.vivino.com/thumbs/IzyQRXIhQFSgT0ODgjtyoQ_pb_x600.png,Prunotto,Italy,Piemonte Barolo ,Nebbiolo  ,ItalianBarolo Redwine Nebbiolo,Bold6,Tannic7,Dry0,Acidic8,oaky earthy black fruit red fruit spices floral dried fruit citrus,Piemonte Barolo  Nebbiolo   ItalianBarolo Redwine Nebbiolo Bold6 Tannic7 Dry0 Acidic8 oaky earthy black fruit red fruit spices floral dried fruit citrus
734,734,Barolo Bussia 2015,//images.vivino.com/thumbs/IzyQRXIhQFSgT0ODgjtyoQ_pb_x600.png,Prunotto,Italy,Piemonte Barolo ,Nebbiolo  ,ItalianBarolo Redwine Nebbiolo,Bold6,Tannic7,Dry0,Acidic8,oaky earthy black fruit red fruit spices floral dried fruit citrus,Piemonte Barolo  Nebbiolo   ItalianBarolo Redwine Nebbiolo Bold6 Tannic7 Dry0 Acidic8 oaky earthy black fruit red fruit spices floral dried fruit citrus
735,735,Domaine Grand Romane Rouge Vielles Vignes 2017,//images.vivino.com/thumbs/TynawWsHTqKj8jHoGLaRlg_pb_x600.png,Pierre Amadieu,France,RhoneValley SouthernRhône Gigondas,Garnacha Monastrell Shiraz/Syrah,SouthernRhôneRed Redwine Blend,Bold6,Tannic5,Dry0,Acidic5,oaky earthy black fruit red fruit spices,RhoneValley SouthernRhône Gigondas Garnacha Monastrell Shiraz/Syrah SouthernRhôneRed Redwine Blend Bold6 Tannic5 Dry0 Acidic5 oaky earthy black fruit red fruit spices
736,736,O.P.C Proprietary Red 2013,//images.vivino.com/thumbs/P-FZ_VPBSySqA21c4Yso8g_pb_x600.png,Buoncristiani,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,CalifornianRedBlend Redwine CabernetSauvignon,Bold8,Tannic5,Dry0,Acidic6,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty CabernetSauvignon   CalifornianRedBlend Redwine CabernetSauvignon Bold8 Tannic5 Dry0 Acidic6 oaky earthy black fruit red fruit spices
737,737,Manyetes Priorat 2010,//images.vivino.com/thumbs/L1aQIMTNTqO27_mh0MrgJQ_pb_x600.png,Clos Mogador,Spain,Catalunya Priorat ,Carignan  ,SpanishPrioratRed Redwine Carignan,Bold8,Tannic5,Dry1,Acidic5,oaky earthy black fruit red fruit spices yeasty,Catalunya Priorat  Carignan   SpanishPrioratRed Redwine Carignan Bold8 Tannic5 Dry1 Acidic5 oaky earthy black fruit red fruit spices yeasty
738,738,Alentejano Moon Harvested 2009,//images.vivino.com/thumbs/Dbxh54pnQo-V3nwWoHxHcA_pb_x600.png,Herdade dos Grous,Portugal,Alentejano  ,AlicanteBouschet  ,PortugueseAlentejoRed Redwine AlicanteBouschet,Bold7,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit,Alentejano   AlicanteBouschet   PortugueseAlentejoRed Redwine AlicanteBouschet Bold7 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit
739,739,Rubrica Tinto 2016,//images.vivino.com/thumbs/0QbyqIgoT9SgcUMV26JmcQ_pb_x600.png,Luis Duarte,Portugal,Alentejano  ,AlicanteBouschet  ,SouthernPortugalRed Redwine AlicanteBouschet,Bold6,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit spices,Alentejano   AlicanteBouschet   SouthernPortugalRed Redwine AlicanteBouschet Bold6 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit spices
740,740,Côte-Rôtie Le Gallet Blanc 2012,//images.vivino.com/thumbs/713wRjBtSh6W6lb35wcMeA_pb_x600.png,Francois Villard,France,RhoneValley NorthernRhône Côte-Rôtie,Shiraz/Syrah  ,NorthernRhôneCôte-Rotie Redwine Shiraz/Syrah,Bold7,Tannic6,Dry0,Acidic6,oaky earthy black fruit red fruit spices,RhoneValley NorthernRhône Côte-Rôtie Shiraz/Syrah   NorthernRhôneCôte-Rotie Redwine Shiraz/Syrah Bold7 Tannic6 Dry0 Acidic6 oaky earthy black fruit red fruit spices
741,741,Châteauneuf-du-Pape 2007,//images.vivino.com/thumbs/ijGqpsVrQnm_3kqJguX1jA_pb_x600.png,Domaine de Marcoux,France,RhoneValley SouthernRhône Châteauneuf-du-Pape,Shiraz/Syrah Grenache Mourvedre,SouthernRhôneChâteauneuf-du-PapeRed Redwine Blend,Bold8,Smooth3,Dry1,Soft4,oaky earthy black fruit red fruit spices floral dried fruit,RhoneValley SouthernRhône Châteauneuf-du-Pape Shiraz/Syrah Grenache Mourvedre SouthernRhôneChâteauneuf-du-PapeRed Redwine Blend Bold8 Smooth3 Dry1 Soft4 oaky earthy black fruit red fruit spices floral dried fruit
742,742,Cabernet Sauvignon 2013,//images.vivino.com/thumbs/7GzeWg_BTn6yUzYj98A_gg_pb_x600.png,Teeter-Totter,United States,California NorthCoast NapaCounty,Shiraz/Syrah Merlot CabernetSauvignon,NapaValleyCabernetSauvignon Redwine Blend,Bold8,Tannic5,Dry1,Acidic5,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty Shiraz/Syrah Merlot CabernetSauvignon NapaValleyCabernetSauvignon Redwine Blend Bold8 Tannic5 Dry1 Acidic5 oaky earthy black fruit red fruit spices
743,743,Elevage  2013,//images.vivino.com/thumbs/NlbQmg7IRIya0f46mh0WzQ_pb_x600.png,Chimney Rock,United States,California NorthCoast NapaCounty,Merlot  ,CalifornianRedBlend Redwine Merlot,Bold8,Tannic5,Dry0,Acidic6,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty Merlot   CalifornianRedBlend Redwine Merlot Bold8 Tannic5 Dry0 Acidic6 oaky earthy black fruit red fruit spices
744,744,O.P.C Proprietary Red 2010,//images.vivino.com/thumbs/P-FZ_VPBSySqA21c4Yso8g_pb_x600.png,Buoncristiani,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,CalifornianRedBlend Redwine CabernetSauvignon,Bold8,Tannic5,Dry0,Acidic6,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty CabernetSauvignon   CalifornianRedBlend Redwine CabernetSauvignon Bold8 Tannic5 Dry0 Acidic6 oaky earthy black fruit red fruit spices
745,745,Cabernet Sauvignon 2012,//images.vivino.com/thumbs/FFD4w1maRAyth4gQpNIwEg_pb_x600.png,Priest Ranch,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,NapaValleyCabernetSauvignon Redwine CabernetSauvignon,Bold8,Tannic5,Dry0,Acidic5,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty CabernetSauvignon   NapaValleyCabernetSauvignon Redwine CabernetSauvignon Bold8 Tannic5 Dry0 Acidic5 oaky earthy black fruit red fruit spices
746,746,Orben 2006,//images.vivino.com/thumbs/EJ1rAqpeTMmIJH9VQUbRUw_pb_x600.png,Orben,Spain,Rioja  ,Tempranillo  ,SpanishRiojaRed Redwine Tempranillo,Bold6,Tannic6,Dry0,Acidic6,oaky earthy black fruit red fruit spices,Rioja   Tempranillo   SpanishRiojaRed Redwine Tempranillo Bold6 Tannic6 Dry0 Acidic6 oaky earthy black fruit red fruit spices
747,747,Land's Edge Vineyard Pinot Noir 2013,//images.vivino.com/thumbs/0BnMkVQiTyGVM1LvyliG3w_pb_x600.png,Hartford Court,United States,California NorthCoast SonomaCounty,PinotNoir  ,CalifornianPinotNoir Redwine PinotNoir,Light4,Smooth1,Dry1,Acidic5,oaky earthy black fruit red fruit spices floral,California NorthCoast SonomaCounty PinotNoir   CalifornianPinotNoir Redwine PinotNoir Light4 Smooth1 Dry1 Acidic5 oaky earthy black fruit red fruit spices floral
748,748,Hermitage Monier de la Sizeranne 2006,//images.vivino.com/thumbs/SM-AeL7bTge2Ux3zkk-3kg_pb_x600.png,M. Chapoutier,France,RhoneValley NorthernRhône Hermitage,Shiraz/Syrah  ,NorthernRhôneHermitage Redwine Shiraz/Syrah,Bold8,Tannic6,Dry0,Acidic5,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal,RhoneValley NorthernRhône Hermitage Shiraz/Syrah   NorthernRhôneHermitage Redwine Shiraz/Syrah Bold8 Tannic6 Dry0 Acidic5 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal
749,749,Tinto De La Casa Malbec 2019,//images.vivino.com/thumbs/k-mmriipTkC0EH5fYW0ZXQ_pb_x600.png,Matías Riccitelli,Argentina,Mendoza  ,Malbec  ,ArgentinianMalbec Redwine Malbec,Bold6,Smooth3,Dry2,Soft4,oaky earthy black fruit red fruit spices,Mendoza   Malbec   ArgentinianMalbec Redwine Malbec Bold6 Smooth3 Dry2 Soft4 oaky earthy black fruit red fruit spices
750,750,Rosso del Conte 2006,//images.vivino.com/thumbs/o4u-qSowQQmoQY-T8cp21Q_pb_x600.png,Tasca d'Almerita,Italy,TerreSiciliane ConteadiSclafani ,Nerod'Avola  ,SouthernItalyRed Redwine Nerod'Avola,Bold7,Smooth4,Dry2,Soft3,oaky earthy black fruit red fruit spices dried fruit,TerreSiciliane ConteadiSclafani  Nerod'Avola   SouthernItalyRed Redwine Nerod'Avola Bold7 Smooth4 Dry2 Soft3 oaky earthy black fruit red fruit spices dried fruit
751,751,ADUENTUS Classic 2016,//images.vivino.com/thumbs/a18irAJiS_-vaU88of3Xqg_pb_x600.png,Antigal,Argentina,Mendoza UcoValley ,CabernetSauvignon Malbec Merlot,ArgentinianBordeauxBlend Redwine Blend,Bold8,Tannic6,Dry1,Acidic6,oaky earthy spices,Mendoza UcoValley  CabernetSauvignon Malbec Merlot ArgentinianBordeauxBlend Redwine Blend Bold8 Tannic6 Dry1 Acidic6 oaky earthy spices
752,752,160 Anni 2013,//images.vivino.com/thumbs/PHuUEqk5S1eMo1XqaX811w_pb_x600.png,Ippolito 1845,Italy,Calabria  ,Gaglioppo  ,SouthernItalyRed Redwine Gaglioppo,Bold8,Smooth4,Dry4,Soft3,,Calabria   Gaglioppo   SouthernItalyRed Redwine Gaglioppo Bold8 Smooth4 Dry4 Soft3 
753,753,Edición Limitada Rioja 2013,//images.vivino.com/thumbs/HqM-p-SJTmK06VV4fljLSg_pb_x600.png,Lan,Spain,Rioja  ,Tempranillo  ,SpanishRiojaRed Redwine Tempranillo,Bold6,Tannic6,Dry0,Acidic6,oaky earthy black fruit red fruit spices,Rioja   Tempranillo   SpanishRiojaRed Redwine Tempranillo Bold6 Tannic6 Dry0 Acidic6 oaky earthy black fruit red fruit spices
754,754,Pinot Noir 2018,//images.vivino.com/thumbs/xLJ7bzecQq-TMB5_-GPVmg_pb_x600.png,Ata Rangi,New Zealand,NorthIsland Wairarapa Martinborough,PinotNoir  ,NewZealandPinotNoir Redwine PinotNoir,Light2,Smooth2,Dry1,Acidic6,oaky earthy black fruit red fruit spices floral ageing yeasty citrus,NorthIsland Wairarapa Martinborough PinotNoir   NewZealandPinotNoir Redwine PinotNoir Light2 Smooth2 Dry1 Acidic6 oaky earthy black fruit red fruit spices floral ageing yeasty citrus
755,755,Alentejano Moon Harvested 2008,//images.vivino.com/thumbs/Dbxh54pnQo-V3nwWoHxHcA_pb_x600.png,Herdade dos Grous,Portugal,Alentejano  ,AlicanteBouschet  ,PortugueseAlentejoRed Redwine AlicanteBouschet,Bold7,Smooth4,Dry1,Soft4,oaky earthy black fruit red fruit,Alentejano   AlicanteBouschet   PortugueseAlentejoRed Redwine AlicanteBouschet Bold7 Smooth4 Dry1 Soft4 oaky earthy black fruit red fruit
756,756,Cabernet Sauvignon Napa Valley 2006,//images.vivino.com/thumbs/Fo1WdNm0QuqIej8ufEkasg_pb_x600.png,Ramey,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,NapaValleyCabernetSauvignon Redwine CabernetSauvignon,Bold8,Tannic5,Dry0,Acidic5,oaky earthy black fruit red fruit spices yeasty,California NorthCoast NapaCounty CabernetSauvignon   NapaValleyCabernetSauvignon Redwine CabernetSauvignon Bold8 Tannic5 Dry0 Acidic5 oaky earthy black fruit red fruit spices yeasty
757,757,Taurasi Radici 2000,//images.vivino.com/thumbs/fwomvQQGQuyWfuU2-THo0Q_pb_x600.png,Mastroberardino,Italy,Campania Taurasi ,Aglianico  ,SouthernItalyRed Redwine Aglianico,Bold8,Smooth4,Dry2,Soft3,oaky earthy black fruit red fruit spices floral dried fruit yeasty,Campania Taurasi  Aglianico   SouthernItalyRed Redwine Aglianico Bold8 Smooth4 Dry2 Soft3 oaky earthy black fruit red fruit spices floral dried fruit yeasty
758,758,Reiver Shiraz 2005,//images.vivino.com/thumbs/wSXpbOxVQZechne6aG6xLQ_pb_x600.png,Mitolo,Australia,SouthAustralia Barossa BarossaValley,Shiraz/Syrah  ,AustralianShiraz Redwine Shiraz/Syrah,Bold8,Smooth4,Dry2,Soft4,oaky earthy black fruit spices,SouthAustralia Barossa BarossaValley Shiraz/Syrah   AustralianShiraz Redwine Shiraz/Syrah Bold8 Smooth4 Dry2 Soft4 oaky earthy black fruit spices
759,759,Tulipán 2009,//images.vivino.com/thumbs/20dTds4RSjyNcOfvTdjhIA_pb_x600.png,Ikon,Hungary,Balaton  ,CabernetFranc Merlot Shiraz/Syrah,HungarianBordeauxBlend Redwine Blend,Bold6,Tannic6,Dry0,Acidic7,oaky earthy black fruit red fruit spices,Balaton   CabernetFranc Merlot Shiraz/Syrah HungarianBordeauxBlend Redwine Blend Bold6 Tannic6 Dry0 Acidic7 oaky earthy black fruit red fruit spices
760,760,Cabernet Sauvignon 2012,//images.vivino.com/thumbs/7GzeWg_BTn6yUzYj98A_gg_pb_x600.png,Teeter-Totter,United States,California NorthCoast NapaCounty,CabernetSauvignon  ,NapaValleyCabernetSauvignon Redwine CabernetSauvignon,Bold8,Tannic5,Dry1,Acidic5,oaky earthy black fruit red fruit spices,California NorthCoast NapaCounty CabernetSauvignon   NapaValleyCabernetSauvignon Redwine CabernetSauvignon Bold8 Tannic5 Dry1 Acidic5 oaky earthy black fruit red fruit spices
761,761,Sagrado El Pedernal Malbec 2015,//images.vivino.com/thumbs/DoGsnP2ZRjSbcPmk0oStrw_pb_x600.png,Bodega Finca Las Moras,Argentina,SanJuan PedernalValley ,Malbec  ,ArgentinianMalbec Redwine Malbec,Bold6,Smooth3,Dry1,Soft4,oaky black fruit,SanJuan PedernalValley  Malbec   ArgentinianMalbec Redwine Malbec Bold6 Smooth3 Dry1 Soft4 oaky black fruit
762,762,Pauillac (Grand Cru Classé) 2018,//images.vivino.com/thumbs/EXWfBa0WQJyv7rwSGDh-xQ_pb_x600.png,Château Clerc Milon,France,Bordeaux Médoc Pauillac,Merlot PetitVerdot CabernetSauvignon,BordeauxPauillac Redwine Blend,Bold7,Tannic7,Dry0,Acidic7,oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal,Bordeaux Médoc Pauillac Merlot PetitVerdot CabernetSauvignon BordeauxPauillac Redwine Blend Bold7 Tannic7 Dry0 Acidic7 oaky earthy black fruit red fruit spices floral dried fruit ageing yeasty vegetal
763,763,Bartina 2009,//images.vivino.com/thumbs/xXCu1X1QRi2eVEsS3ij-tg_pb_x600.png,Takler,Hungary,Dél-Pannónia Szekszárd ,Merlot Kékfrankos CabernetJura, Redwine Blend,,,,,,Dél-Pannónia Szekszárd  Merlot Kékfrankos CabernetJura  Redwine Blend     
764,764,Bienenberg Spätburgunder R 2012,//images.vivino.com/thumbs/PEcl66MMTNuFdQ6gI4b0rw_pb_x600.png,Bernhard Huber,Germany,Baden  ,Spätburgunder  ,GermanSpätburgunder Redwine Spätburgunder,Light0,Smooth2,Dry0,Acidic7,earthy red fruit,Baden   Spätburgunder   GermanSpätburgunder Redwine Spätburgunder Light0 Smooth2 Dry0 Acidic7 earthy red fruit
765,765,Single Vineyard (Las Compuertas) Malbec 2004,//images.vivino.com/thumbs/PHjpy4aUT7-jEz3PT3Oy9w_pb_x600.png,Terrazas de los Andes,Argentina,Mendoza  ,Malbec  ,ArgentinianMalbec Redwine Malbec,Bold6,Smooth3,Dry2,Soft3,oaky earthy black fruit red fruit spices,Mendoza   Malbec   ArgentinianMalbec Redwine Malbec Bold6 Smooth3 Dry2 Soft3 oaky earthy black fruit red fruit spices
766,766,Oracle Shiraz 2005,//images.vivino.com/thumbs/shrTpfSdSW2Z6f-KjWtVRA_pb_x600.png,Kilikanoon,Australia,SouthAustralia MountLoftyRanges ClareValley,Shiraz/Syrah  ,AustralianShiraz Redwine Shiraz/Syrah,Bold8,Smooth4,Dry2,Soft4,oaky earthy black fruit red fruit spices,SouthAustralia MountLoftyRanges ClareValley Shiraz/Syrah   AustralianShiraz Redwine Shiraz/Syrah Bold8 Smooth4 Dry2 Soft4 oaky earthy black fruit red fruit spices
767,767,Vinha da Neve Tinto 2012,//images.vivino.com/thumbs/1VygZsj_Ra-coQfb8A21ew_pb_x600.png,Ribeiro Santo,Portugal,Beiras Dão ,TourigaNacional TintoCao AlfrocheiroPreto,PortugueseDãoRed Redwine Blend,Bold6,Tannic5,Dry0,Acidic6,oaky black fruit red fruit,Beiras Dão  TourigaNacional TintoCao AlfrocheiroPreto PortugueseDãoRed Redwine Blend Bold6 Tannic5 Dry0 Acidic6 oaky black fruit red fruit
768,768,Secret de Schistes 2016,//images.vivino.com/thumbs/rx3WSFjxQsuRsU7ZlM5THQ_pb_x600.png,Château de l'Ou,France,VindePays Paysd'Oc CôtesCatalanes,Shiraz/Syrah  ,Languedoc-RoussillonRed Redwine Shiraz/Syrah,Bold7,Tannic5,Dry1,Acidic6,oaky earthy black fruit red fruit spices,VindePays Paysd'Oc CôtesCatalanes Shiraz/Syrah   Languedoc-RoussillonRed Redwine Shiraz/Syrah Bold7 Tannic5 Dry1 Acidic6 oaky earthy black fruit red fruit spices
769,769,Land's Edge Vineyard Pinot Noir 2016,//images.vivino.com/thumbs/0BnMkVQiTyGVM1LvyliG3w_pb_x600.png,Hartford Court,United States,California NorthCoast SonomaCounty,PinotNoir  ,CalifornianPinotNoir Redwine PinotNoir,Light4,Smooth1,Dry1,Acidic5,oaky earthy black fruit red fruit spices floral,California NorthCoast SonomaCounty PinotNoir   CalifornianPinotNoir Redwine PinotNoir Light4 Smooth1 Dry1 Acidic5 oaky earthy black fruit red fruit spices floral
770,770,Evangelista Cabernet Franc 2009,//images.vivino.com/thumbs/wkguaVXIQ7e00zD0tilLZw_pb_x600.png,Ikon,Hungary,Balaton  ,CabernetFranc  , Redwine CabernetFranc,,,,,oaky earthy black fruit red fruit spices,Balaton   CabernetFranc    Redwine CabernetFranc     oaky earthy black fruit red fruit spices
771,771,Los Indios Parcel Malbec 2011,//images.vivino.com/thumbs/1LM_XINJTc-tW9LzuFWjgQ_pb_x600.png,Doña Paula,Argentina,Mendoza UcoValley SanCarlos,Malbec  ,ArgentinianMalbec Redwine Malbec,Bold6,Smooth4,Dry1,Soft4,oaky black fruit,Mendoza UcoValley SanCarlos Malbec   ArgentinianMalbec Redwine Malbec Bold6 Smooth4 Dry1 Soft4 oaky black fruit
